Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price,marka
32 GB,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,Q Türkçe,Oyun,4.4,,Yok,,8 GB,DDR4,Siyah,512 GB,,,1.4,1920 x 1080,Full HD (FHD),11400,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//msi/gf63-thin-11sc-035xtr-i5-11400h-8gb-ddr4-gtx1650-gddr6-4gb-512gb-ssd-15-6-fhd-dos-p-163858296,33.999 TL,MSI
,HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Mavi,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-7p6b3ea-16-r0007nt-i7-13700h-16gb-1tb-rtx4070-8gb-16-1-inc-144hz-fhd-freedos-gaming-laptop-p-738506102,45.899 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,2560 x 1600,QHD,13700H,13. Nesil,Intel Core i7,14,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t6-v1-1-5-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4070-windows-11-16-qhd-165-hz-p-742790570,65.499 TL,Monster
128 GB,Bluetooth,Micro USB - DVI-D,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,DVD Okuyucu,IPS,32 GB,DDR4,Gri,2 TB,Gen 4,AM5,Belirtilmemiş,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//casper/g870-1265-dxb0x-b-intel-core-i7-12650h-32gb-ram-2tb-nvme-ssd-8gb-rtx4060-freedos-p-672155829,36.999 TL,Casper
,HDMI - USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.4,,,TN,8 GB,DDR5,Siyah,256 GB,,,3.3,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,6 Saat ve Üstü,https://www.trendyol.com//acer/an515-58-nh-qmzey-005-i5-12450h-8gb-ddr5-256gb-ssd-rtx2050-4gb-15-6-144hz-w11h-p-776123333,20.900 TL,ACER
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-4-5-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-windows-11-15-6-fhd-144-hz-p-760784218,33.199 TL,Monster
,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3070,Belirtilmemiş,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.6,,Yok,IPS,16 GB,DDR4,Siyah,512 GB,,,2.3,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/nitro-5-an515-57-corei7-11800h-16gb-512gb-ssd-rtx-3070-8gb-fdos-15-6-notebook-nh-qfgey-002-p-343021074,"36.154,80 TL",ACER
,USB - Bluetooth - HDMI,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Dahili,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,LED,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),11600H,11. Nesil,Intel Core i7,4,Linux,,https://www.trendyol.com//acer/an515-57-nh-qeley-00a-i7-11600h-16gb-512gb-ssd-rtx3050-4gb-15-6-linux-tasinabilir-bilgisayar-p-788108929,26.599 TL,ACER
128 GB,HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,64 GB,DDR5,Siyah,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Windows,3 Saat ve Altı,https://www.trendyol.com//msi/katana-17-b12vgk-401xtr-i7-12650h-32gb-ddr5-rtx4070-gddr6-8gb-1tb-ssd-17-3-fhd-144hz-dos-p-661530112,71.199 TL,MSI
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//msi/katana-17-b12vek-083xtr-i7-12650h-16gb-ddr5-1tb-ssd-6gb-rtx4050-17-3-fhd-144hz-freedos-gaming-p-648488439,52.389 TL,MSI
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.5,,,IPS,16 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//acer/nitro-5-an515-57-i5-11400h-16gb-1tb-ssd-rtx3050-dos-15-6-fhd-notebook-nh-qeley-008-16-p-780239795,27.000 TL,ACER
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q İngilizce,Oyun,4.5,,Yok,IPS,16 GB,DDR5,Siyah,512 GB,,,3.3,1920 x 1080,Full HD (FHD),6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//acer/nitro-5-an515-46-amd-r5-6600h-16gb-512gb-ssd-rtx3050-dos-15-6-fhd-nh-qgxey-001-16-canta-mouse-p-474739723,24.699 TL,ACER
,Bluetooth,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,DDR4,4 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.5,,,IPS,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,QHD,11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//acer/nitro5-intel-core-i5-11400h-16gb-512gb-4gb-rtx3050-15-6-fhd-w11pro-gaming-pc-p-767856380,25.750 TL,ACER
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nv-lp019w07-ryzen7-7735hs-32gb-1tbssd-rtx4060-15-6-fullhd-w11h-tasinabilir-p-787988229,44.999 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR5,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-16-e1011nt-amd-ryzen-5-6600h-8gb-512gb-rtx3050ti-16-1-fhd-144hz-dos-68s27ea-p-752684631,24.999 TL,HP
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,,,IPS,32 GB,DDR4,Gri,500 GB,Gen 3,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-dvb0x-b-intel-core-i5-12450h-32gb-ram-500-gb-nvme-ssd-gen4-8gb-rtx4060-freedos-p-672167679,32.699 TL,Casper
,HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0053nt-ryzen-7-7840hs-16gb-1tb-ssd-6gb-rtx-4050-144hz-16-1-fdos-laptop-892q1ea-p-745991257,34.399 TL,HP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//acer/nitro-5-an515-57-intel-core-i5-11400h-8gb-512gb-ssd-gtx1650-freedos-15-6-fhd-144-hz-tasinabil-p-759407369,22.740 TL,ACER
,Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0037nt-7p643ea-6gb-rtx4050-13-nesil-i7-13700h-16-gb-ram-512-gb-ssd-16-1-inc-fhd-144hz-p-707365264,34.719 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//msi/katana-17-b12vfk-403tr-dizustu-bilgisayar-core-i7-12650h-17-3-fhd-144hz-16gb-ram-rtx4060-8g-p-742245712,63.000 TL,MSI
,Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Dahili,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),7640HS,7. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-16-s0035nt-ryzen-5-7640hs-16gb-ram-rtx-4060-512gb-ssd-16-1-inc-fhd-144hz-freedos-7z5z2ea-p-742301709,33.999 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Gri,500 GB,Gen 4,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-bvg0x-b-intel-core-i5-12450h-16-gb-ram-500-gb-nvme-ssd-gen4-4gb-rtx-2050-freedos-p-746289856,23.999 TL,Casper
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,Oyun,4.4,,Yok,IPS,32 GB,DDR4,Siyah,1 TB,,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g770-1245-dfh0x-b-intel-core-i5-12450h-32gb-ram-1tb-nvme-ssd-gen4-4gb-gtx-1650-freedos-p-364122347,23.999 TL,Casper
,USB,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.5,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1200,WUXGA,7535HS,7. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//acer/nitro-16-an16-416-r5-7535hs-16gb-512gb-ssd-rtx4050-6gb-dos-16-wuxga-165hz-notebook-nh-qkbey-003-16-p-773600924,29.199 TL,ACER
,Bluetooth,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,240 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,5.0,,Çoklu Kopyalama Sistemleri,IPS,16 GB,DDR5,Mavi,1 TB,,,3.7,2560 x 1600,QHD,13700H,13. Nesil,Intel Core i7,14,Windows,4-6 Saat,https://www.trendyol.com//msi/stealth-16-studio-a13vf-071tr-i7-13700h-16gb-ddr5-1tb-ssd-8gb-rtx4060-240hz-16-qhd-w11-gaming-p-686062505,69.999 TL,MSI
,USB - Bluetooth - HDMI,,2 - 4 kg,Var,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,12,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4-hn177-intel-i7-12700h-16gb-ddr4-1tb-ssd-4gb-rtx3050-15-6-fhd-144hz-dos-p-775779675,36.325 TL,ASUS
,HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,24 GB,DDR5,Siyah,1 TB,,,2.2,2560 x 1600,Full HD (FHD),13900HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//acer/predator-core-i9-13900hx-24-b-1tb-ssd-rtx-4070-freedos-16-165-hz-ips-notebook-nh-qlvey-002-p-778000595,58.999 TL,ACER
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX1650 Ti,GDDR6,4 GB,Harici,,,,Resmi Distribütör Garantili,,,,4 GB,RGB,Oyun,,,Yok,,8 GB,,,1 TB,,,,1920 x 1080,Full HD (FHD),10300H,,Intel Core i5,,Free Dos,,https://www.trendyol.com//asus/tuf-fx506li-hn085-intel-core-i5-10300h-8gb-1tb-ssd-gtx-1650ti-freedos-15-6-fhd-p-130010677,26.999 TL,ASUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/rog-zephyrus-g16-gu603zu-n3020-intel-i7-12700h-16gb-ddr4-512gb-ssd-6gb-rtx4050-16-165hz-dos-p-661736995,41.999 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Mavi,512 GB,Gen 4,,,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Windows,6 Saat ve Üstü,https://www.trendyol.com//hp/victus-core-i5-13500h-16-ram-512-gb-ssd-rtx4060-16-1-win11-laptop-mavi-7p6l2ea-p-775825971,35.999 TL,HP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//monster/tulpar-t5-v23-3-4-intel-core-i5-12450h-16-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-15-6-fhd-144-hz-p-762943119,34.199 TL,Monster
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lenovo/ip3-82k101fqtx-i5-11320h-16gb-256gb-rtx3050ti-4gb-15-6-free-dos-m100-mouse-hediyeli-p-466806477,25.557 TL,LENOVO
,HDMI - USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,2.4,1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,10,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/nitro-v-15-core-i7-13620h-16gb-512gb-ssd-rtx-4050-freedos-15-6-fhd-notebook-nh-qnbey-005-165-p-784195255,33.199 TL,ACER
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Siyah,512 GB,,,2.3,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/nitro5-core-i7-12700h-16-gb-512-gb-ssd-rtx-4060-8-gbfreedos-15-6-fhd-notebook-nh-qm0ey-001-p-719063232,36.999 TL,ACER
,HDMI - USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//hp/omen-16-wd0001nt-7x9y4ea-i5-13420h-16gb-ram-512gb-ssd-6gb-rtx-4050-16-1-fhd-freedos-p-761172692,37.499 TL,HP
32 GB,USB - Bluetooth - HDMI,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR4,Siyah,512 GB,,,3.5,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,16,Windows,,https://www.trendyol.com//msi/thin-gf63-12vf-632tr-intel-core-i7-12650h-16gb-512gb-ssd-rtx4060-w11-15-6-fhd-144hz-p-770116682,44.999 TL,MSI
,Bluetooth,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6X,8 GB,Harici,165 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Gri,1 TB,Gen 4,,,2560 x 1600,WQHD,13700HX,13. Nesil,Intel Core i7,16,Free Dos,,https://www.trendyol.com//casper/excalibur-g911-1370-dfb0x-c-intel-core-i7-13700hx-32gb-ddr5-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-p-672182432,48.899 TL,Casper
,Bluetooth,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,Paylaşımlı,Dahili,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Gümüş,1 TB,,,,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//hp/victus-16-r0022nt-core-i5-13500h-16gb-1tb-ssd-8gb-rtx-4060-16-1-w11-mika-gumus-gaming-notebook-p-770299252,36.499 TL,HP
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,RGB Türkçe,Oyun,,,Yok,,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),Belirtilmemiş,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/ideapad-gaming-3-82k101ektx03-i5-11320h-16gb-512ssd-gtx1650-15-6-fullhd-w11h-tasinabilir-bil-p-371349911,25.999 TL,LENOVO
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,,,IPS,8 GB,DDR4,Mavi,512 GB,,,3.5,1920 x 1080,Full HD (FHD),660,13. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//hp/victus-7p8l0ea-i5-13500h-8gb-512gb-ssd-rtx3050-6gd6-15-6-fhd-ips-144hz-freedos-dizustu-p-672482021,25.500 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,VA,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),Belirtilmemiş,13. Nesil,Intel Core i5,10,Linux,,https://www.trendyol.com//dell/g15-5530-i5-13450hx-16gb-512gb-ssd-6gb-rtx3050-15-6-fhd-120hz-uyumlu-g155530240102u16gb-p-760914552,27.999 TL,Dell
,USB,,Belirtilmemiş,Yok,"15,6 inç",AMD Radeon RX6500M,Belirtilmemiş,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe,Oyun,,,,Mikro Kenarlı,16 GB,Belirtilmemiş,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),5600H,5. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//hp/victus-15-fb0017nt-5-nesil-ryzen-5-5600h-rx6500m-16gb-512gb-15-6inc-w11-p-779235581,23.999 TL,HP
,HDMI - USB,,2 - 4 kg,Yok,14 inç,RTX A4500,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,TN,16 GB,DDR4,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),1195G7,11. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//asus/nirvana-x400-1195-pypypy-i7-1195g7-16gb-ram-512gb-ssd-iris-xe-graphics-14-win-11-pro-p-742276024,22.999 TL,ASUS
,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3070Ti,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Siyah,512 GB,,,3.2,1920 x 1080,Full HD (FHD),6800H,6. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//acer/nitro-5-ryzen-7-6800h-8gb-rtx-3070-ti-16gb-ddr5-ram-512gb-ssd-15-6-fhd-144hz-nh-qh1ey-001-p-761545349,"33.599,90 TL",ACER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//dell/gaming-g15-5530-g155530010wh-i7-13650hx-16gb-512gb-rtx-4050-6g-15-6-inc-fhd-w11-gaming-notebook-p-696895493,38.799 TL,Dell
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-3-5-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-windows-11-15-6-fhd-144-hz-p-736951227,43.999 TL,Monster
,USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Siyah,1 TB,,,3.7,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,4-6 Saat,https://www.trendyol.com//hp/victus-16-s0044nt-amd-ryzen-7-7840hs-32-gb-1-tb-ssd-16-1-fhd-144-hz-rtx-4060-8gb-freedos-7z601ea-p-785137076,41.999 TL,HP
