Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price,marka
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.6,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v17-3-4-intel-core-i7-11800h-32gb-ram-1-tb-ssd-rtx-3050-ti-freedos-15-6-inc-fhd-144-hz-p-674248329,28.699 TL,Monster
,Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),3700X,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0011nt-7z584ea-8gb-rtx4060-ryzen-7-7840hs-16gb-ram-1tb-ssd-16-1-inc-fhd-144hz-p-738778131,36.199 TL,HP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//acer/nitro5-intel-core-i5-11400h-8gb-512gb-4gb-rtx3050-15-6-fhd-dos-gaming-pc-acer-turkiye-garantili-p-743338393,22.799 TL,ACER
,HDMI - USB,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,TN,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-p-760924099,30.171 TL,MSI
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Dahili,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,1 TB,Q Türkçe,Oyun,5.0,,Yok,IPS,16 GB,DDR4,Siyah,1 TB,,,3.7,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/victus-7n9v0ea-15-fa1028nt-i7-13700h-16gb-1tb-rtx3050-15-6inc-144hz-full-hd-freedos-gaming-laptop-p-669761896,29.599 TL,HP
,HDMI - USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0065nt-8b5y3ea-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-16-1-fhd-freedos-p-758800085,42.999 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,TN,16 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,8,Free Dos,,https://www.trendyol.com//msi/intel-core-i7-12650h-16gb-1tb-ssd-rtx4070-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-p-695787807,46.999 TL,MSI
,Bluetooth,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,Full HD,,Resmi Distribütör Garantili,Full HD,,,Yok,Numerik Tuşlu Aydınlatmalı,Oyun,,,Yok,VA,16 GB,,,500 GB,,,,1920 x 1080,Full HD (FHD),11800H,,Intel Core i7,,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v13-3-3-intel-core-i7-11800h-16gb-500gb-ssd-rtx3050ti-freedos-17-3-fhd-p-133966693,27.899 TL,Monster
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-4-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760273243,29.999 TL,Monster
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hf-hn028-i5-11400h-8gb-ram-512gb-ssd-4gb-rtx2050-15-6-inc-fhd-144hz-p-661881677,24.750 TL,ASUS
